Timestamp,Inference_Time_ms,FPS
2026-04-14 05:42:32,169.3,1.78
2026-04-14 05:42:32,82.12,6.87
2026-04-14 05:42:33,81.63,7.59
2026-04-14 05:42:33,81.29,7.52
2026-04-14 05:42:33,80.49,7.55
2026-04-14 05:42:33,80.9,7.48
2026-04-14 05:42:33,81.46,7.47
2026-04-14 05:42:33,80.58,7.56
2026-04-14 05:42:33,83.95,7.28
2026-04-14 05:42:34,80.18,7.7
2026-04-14 05:42:34,81.19,7.5
2026-04-14 05:42:34,81.3,7.51
2026-04-14 05:42:34,81.61,7.48
2026-04-14 05:42:34,82.11,7.48
2026-04-14 05:42:34,80.5,7.59
2026-04-14 05:42:34,112.28,6.06
2026-04-14 05:42:35,92.39,6.81
2026-04-14 05:42:35,85.41,6.27
2026-04-14 05:42:35,82.54,7.61
2026-04-14 05:42:35,83.11,7.53
2026-04-14 05:42:35,81.05,7.61
2026-04-14 05:42:35,80.75,7.5
2026-04-14 05:42:35,80.35,7.55
2026-04-14 05:42:35,82.47,7.37
2026-04-14 05:42:36,82.6,7.51
2026-04-14 05:42:36,80.88,7.58
2026-04-14 05:42:36,81.05,7.45
2026-04-14 05:42:36,81.23,7.56
2026-04-14 05:42:36,82.53,7.43
2026-04-14 05:42:36,80.75,7.61
2026-04-14 05:42:36,83.35,7.36
2026-04-14 05:42:37,80.11,7.7
2026-04-14 05:42:37,81.74,7.41
2026-04-14 05:42:37,80.93,7.55
2026-04-14 05:42:37,94.71,6.8
2026-04-14 05:42:37,82.26,6.49
2026-04-14 05:42:37,81.85,7.52
2026-04-14 05:42:37,85.42,7.3
2026-04-14 05:42:38,82.83,7.66
2026-04-14 05:42:38,85.39,7.37
2026-04-14 05:42:38,82.79,7.65
2026-04-14 05:42:38,81.46,7.57
2026-04-14 05:42:38,82.14,7.48
2026-04-14 05:42:38,82.55,7.42
2026-04-14 05:42:38,81.46,7.6
2026-04-14 05:42:38,84.21,7.37
2026-04-14 05:42:39,83.26,7.56
2026-04-14 05:42:39,82.11,7.56
2026-04-14 05:42:39,95.33,6.82
2026-04-14 05:42:39,81.23,6.57
2026-04-14 05:42:39,81.58,7.48
2026-04-14 05:42:39,81.35,7.51
2026-04-14 05:42:39,82.16,7.42
2026-04-14 05:42:40,82.91,7.51
2026-04-14 05:42:40,82.09,7.55
2026-04-14 05:42:40,82.42,7.45
2026-04-14 05:42:40,81.75,7.58
2026-04-14 05:42:40,82.81,7.44
2026-04-14 05:42:40,82.41,7.53
2026-04-14 05:42:40,85.66,7.32
2026-04-14 05:42:40,96.43,6.95
2026-04-14 05:42:41,82.77,6.52
2026-04-14 05:42:41,81.77,7.58
2026-04-14 05:42:41,82.12,7.48
2026-04-14 05:42:41,83.42,7.44
2026-04-14 05:42:41,82.13,7.58
2026-04-14 05:42:41,82.63,7.45
2026-04-14 05:42:41,82.87,7.49
2026-04-14 05:42:42,82.04,7.56
2026-04-14 05:42:42,83.69,7.42
2026-04-14 05:42:42,99.25,6.72
2026-04-14 05:42:42,81.74,6.71
2026-04-14 05:42:42,90.44,7.04
2026-04-14 05:42:42,82.34,6.31
2026-04-14 05:42:42,95.33,6.84
2026-04-14 05:42:43,82.56,6.5
2026-04-14 05:42:43,83.0,7.45
2026-04-14 05:42:43,85.26,7.41
2026-04-14 05:42:43,85.67,7.48
2026-04-14 05:42:43,80.91,7.78
2026-04-14 05:42:43,82.82,7.4
2026-04-14 05:42:43,95.46,6.84
2026-04-14 05:42:44,84.02,6.45
2026-04-14 05:42:44,81.94,7.61
2026-04-14 05:42:44,82.62,7.48
2026-04-14 05:42:44,81.62,7.56
2026-04-14 05:42:44,81.68,7.5
2026-04-14 05:42:44,83.18,7.42
2026-04-14 05:42:44,82.7,7.53
2026-04-14 05:42:45,82.15,7.53
2026-04-14 05:42:45,82.53,7.46
2026-04-14 05:42:45,80.92,7.61
2026-04-14 05:42:45,82.0,7.45
2026-04-14 05:42:45,82.87,7.45
2026-04-14 05:42:45,81.57,7.58
2026-04-14 05:42:45,83.84,7.36
2026-04-14 05:42:45,84.03,7.52
2026-04-14 05:42:46,83.0,7.55
2026-04-14 05:42:46,83.04,7.5
2026-04-14 05:42:46,82.61,7.53
2026-04-14 05:42:46,82.38,7.43
2026-04-14 05:42:46,82.85,7.56
2026-04-14 05:42:46,83.07,7.5
2026-04-14 05:42:46,82.85,7.52
2026-04-14 05:42:47,81.39,7.57
2026-04-14 05:42:47,83.47,7.4
2026-04-14 05:42:47,81.62,7.61
2026-04-14 05:42:47,81.83,7.48
2026-04-14 05:42:47,95.19,6.83
2026-04-14 05:42:47,86.33,6.33
2026-04-14 05:42:47,81.94,7.75
2026-04-14 05:42:47,87.48,7.21
2026-04-14 05:42:48,82.24,7.81
2026-04-14 05:42:48,82.64,7.48
2026-04-14 05:42:48,82.55,7.51
2026-04-14 05:42:48,84.86,7.38
2026-04-14 05:42:48,82.91,7.62
2026-04-14 05:42:48,82.49,7.53
2026-04-14 05:42:48,85.43,7.33
2026-04-14 05:42:49,80.49,7.81
2026-04-14 05:42:49,86.01,7.19
2026-04-14 05:42:49,84.57,7.6
2026-04-14 05:42:49,89.29,7.25
2026-04-14 05:42:49,82.03,6.27
2026-04-14 05:42:49,81.42,7.53
2026-04-14 05:42:49,86.1,7.25
2026-04-14 05:42:49,81.02,7.8
2026-04-14 05:42:50,85.34,7.26
2026-04-14 05:42:50,81.52,7.72
2026-04-14 05:42:50,82.86,7.41
2026-04-14 05:42:50,83.35,7.48
2026-04-14 05:42:50,82.85,7.54
2026-04-14 05:42:50,83.11,7.47
2026-04-14 05:42:50,102.35,6.57
2026-04-14 05:42:51,82.09,6.83
2026-04-14 05:42:51,82.34,7.49
2026-04-14 05:42:51,83.03,7.47
2026-04-14 05:42:51,80.81,7.64
2026-04-14 05:42:51,82.03,7.33
2026-04-14 05:42:51,81.34,7.65
2026-04-14 05:42:51,83.71,7.37
2026-04-14 05:42:52,81.26,7.65
2026-04-14 05:42:52,84.43,7.33
2026-04-14 05:42:52,83.69,7.55
2026-04-14 05:42:52,82.03,7.59
2026-04-14 05:42:52,82.88,7.45
2026-04-14 05:42:52,81.93,7.56
2026-04-14 05:42:52,83.22,7.39
2026-04-14 05:42:52,80.84,7.46
2026-04-14 05:42:53,83.03,7.61
2026-04-14 05:42:53,83.07,7.49
2026-04-14 05:42:53,94.22,6.92
2026-04-14 05:42:53,87.29,6.27
2026-04-14 05:42:53,83.66,7.65
2026-04-14 05:42:53,81.9,7.49
2026-04-14 05:42:53,84.1,7.49
2026-04-14 05:42:54,82.23,7.62
2026-04-14 05:42:54,88.95,7.19
2026-04-14 05:42:54,89.7,5.8
2026-04-14 05:42:54,83.72,6.43
2026-04-14 05:42:54,82.41,7.53
2026-04-14 05:42:54,97.43,6.73
