Timestamp,Avg_Conf(%),InferenceTime(ms),TotalLatencyTime(ms),FPS,CPU_Temp(℃),CPU_Usage(%),Memory_Usage(%)
2026-04-15 06:01:47,77.56,169.5,562.9,1.78,36.4,0.0,20.7
2026-04-15 06:01:47,80.51,86.8,110.0,6.68,38.0,35.0,20.8
2026-04-15 06:01:47,81.14,88.0,103.9,7.24,38.6,40.0,20.8
2026-04-15 06:01:47,80.13,82.9,109.0,6.22,38.0,33.3,20.8
2026-04-15 06:01:47,80.4,84.7,97.9,7.57,38.6,41.5,20.8
2026-04-15 06:01:47,80.04,83.0,97.1,7.6,38.6,42.6,20.9
2026-04-15 06:01:47,79.44,84.7,100.6,7.41,38.6,40.7,20.9
2026-04-15 06:01:48,79.61,83.5,98.0,7.57,38.6,39.6,20.9
2026-04-15 06:01:48,79.6,86.5,101.9,7.33,38.6,43.4,20.9
2026-04-15 06:01:48,80.21,91.7,104.1,7.23,38.6,45.8,21.0
2026-04-15 06:01:48,80.53,84.9,100.1,6.24,38.0,34.9,21.0
2026-04-15 06:01:48,80.49,84.3,98.4,7.56,37.5,38.5,21.0
2026-04-15 06:01:48,80.41,82.5,97.0,7.61,38.0,40.4,21.1
2026-04-15 06:01:48,79.76,95.2,112.0,6.85,38.6,39.3,21.1
2026-04-15 06:01:49,80.42,86.1,109.6,6.34,38.0,32.8,21.1
2026-04-15 06:01:49,79.88,84.4,96.5,7.58,37.5,43.4,21.1
2026-04-15 06:01:49,80.22,92.2,106.3,7.13,37.5,40.7,21.1
2026-04-15 06:01:49,79.56,106.5,128.5,5.52,38.6,39.2,21.1
2026-04-15 06:01:49,79.72,99.3,122.2,6.29,37.5,37.1,21.1
2026-04-15 06:01:49,79.92,86.3,109.4,6.5,37.5,36.1,21.1
2026-04-15 06:01:49,80.48,86.1,98.6,7.53,37.5,43.9,21.1
2026-04-15 06:01:50,79.95,86.0,98.2,7.5,37.0,38.8,21.2
2026-04-15 06:01:50,80.31,89.1,100.9,7.34,38.6,49.2,21.2
2026-04-15 06:01:50,80.36,88.6,112.2,6.0,38.0,34.3,21.2
2026-04-15 06:01:50,80.13,85.7,108.4,6.06,38.0,30.6,21.1
2026-04-15 06:01:50,80.82,98.2,109.0,6.94,38.0,41.8,21.2
2026-04-15 06:01:50,79.77,88.4,111.5,6.38,38.0,34.4,21.2
2026-04-15 06:01:51,81.07,86.8,105.0,6.06,37.5,33.8,21.2
2026-04-15 06:01:51,80.76,86.5,98.8,7.52,38.0,39.2,21.2
2026-04-15 06:01:51,80.64,89.2,100.5,7.37,38.0,38.0,21.2
2026-04-15 06:01:51,80.66,86.1,109.0,6.11,38.6,33.8,21.3
2026-04-15 06:01:51,80.63,86.3,99.2,7.5,37.5,40.4,21.3
2026-04-15 06:01:51,80.14,87.0,99.5,7.46,37.0,46.4,21.3
2026-04-15 06:01:51,80.43,85.7,97.4,7.59,38.6,38.0,21.3
2026-04-15 06:01:51,80.46,92.7,105.8,7.13,38.6,43.9,21.3
2026-04-15 06:01:52,81.11,112.4,135.3,5.37,38.6,33.8,21.2
2026-04-15 06:01:52,80.51,84.9,105.4,7.18,38.0,37.0,21.2
2026-04-15 06:01:52,80.66,85.6,99.2,7.47,39.7,40.4,21.3
2026-04-15 06:01:52,80.47,86.0,99.3,7.48,38.6,45.6,21.2
2026-04-15 06:01:52,80.28,82.0,95.3,7.73,38.6,34.0,21.2
