Timestamp,CPU Usage (%),Memory Usage (%),Temperature (°C)
2026-04-14 05:42:20,0.0,19.4,30.4
2026-04-14 05:42:21,2.7,19.4,31.4
2026-04-14 05:42:22,1.2,19.4,32.0
2026-04-14 05:42:23,1.5,19.4,30.9
2026-04-14 05:42:24,2.2,19.4,31.4
2026-04-14 05:42:25,2.2,19.4,32.0
2026-04-14 05:42:26,1.5,19.4,31.4
2026-04-14 05:42:27,0.3,19.4,29.8
2026-04-14 05:42:28,1.0,19.3,29.8
2026-04-14 05:42:29,26.6,19.8,32.0
2026-04-14 05:42:30,27.3,20.3,33.1
2026-04-14 05:42:31,24.7,20.8,31.4
2026-04-14 05:42:32,13.4,21.3,32.5
2026-04-14 05:42:33,36.8,21.5,32.5
2026-04-14 05:42:34,35.8,21.4,33.6
2026-04-14 05:42:35,37.6,21.6,32.5
2026-04-14 05:42:36,35.4,21.6,33.1
2026-04-14 05:42:37,33.5,21.6,33.6
2026-04-14 05:42:38,37.5,21.7,33.1
2026-04-14 05:42:39,35.7,21.9,34.8
2026-04-14 05:42:40,36.9,21.8,34.2
2026-04-14 05:42:41,38.0,22.0,34.2
2026-04-14 05:42:42,37.1,22.1,34.2
2026-04-14 05:42:43,37.0,22.0,33.6
2026-04-14 05:42:44,36.2,22.0,35.3
2026-04-14 05:42:45,39.6,21.9,34.2
2026-04-14 05:42:46,37.0,21.8,34.2
2026-04-14 05:42:47,36.0,21.8,35.9
2026-04-14 05:42:48,36.5,21.8,34.8
2026-04-14 05:42:49,34.6,22.0,33.6
2026-04-14 05:42:50,38.3,21.8,33.6
2026-04-14 05:42:51,35.7,21.6,34.2
2026-04-14 05:42:52,37.4,21.5,33.6
2026-04-14 05:42:53,38.7,21.5,34.8
2026-04-14 05:42:54,37.2,21.5,34.8
2026-04-14 05:42:55,33.8,21.5,34.2
2026-04-14 05:42:56,38.0,21.6,35.3
2026-04-14 05:42:57,36.8,21.8,33.6
2026-04-14 05:42:58,38.4,21.8,34.8
2026-04-14 05:42:59,38.7,21.8,33.6
2026-04-14 05:43:00,35.1,21.8,34.2
2026-04-14 05:43:01,37.6,21.9,34.8
2026-04-14 05:43:02,38.4,21.9,35.3
2026-04-14 05:43:03,39.0,21.7,34.2
