Timestamp,CPU Usage (%),Memory Usage (%),Temperature (°C)
2026-04-15 01:46:30,0.0,15.2,35.9
2026-04-15 01:46:31,2.8,15.3,37.5
2026-04-15 01:46:32,0.2,15.3,37.5
2026-04-15 01:46:33,2.0,15.3,37.5
2026-04-15 01:46:34,0.3,15.3,37.0
2026-04-15 01:46:35,1.0,15.3,37.5
2026-04-15 01:46:36,1.0,15.3,37.0
2026-04-15 01:46:37,4.5,15.3,37.0
2026-04-15 01:46:38,1.8,15.3,37.0
2026-04-15 01:46:39,4.2,15.3,37.0
2026-04-15 01:46:40,0.5,15.2,37.0
2026-04-15 01:46:41,0.5,15.2,37.0
2026-04-15 01:46:42,0.7,15.2,37.5
2026-04-15 01:46:43,2.0,15.2,37.0
2026-04-15 01:46:44,0.7,15.2,37.0
2026-04-15 01:46:45,1.0,15.2,36.4
2026-04-15 01:46:46,0.5,15.2,37.0
2026-04-15 01:46:47,0.7,15.2,37.5
2026-04-15 01:46:48,3.2,15.2,37.5
2026-04-15 01:46:49,0.7,15.2,36.4
2026-04-15 01:46:50,0.7,15.2,37.0
2026-04-15 01:46:51,0.5,15.2,38.0
2026-04-15 01:46:52,1.0,15.2,37.0
2026-04-15 01:46:53,1.8,15.2,37.0
2026-04-15 01:46:54,1.2,15.2,37.5
2026-04-15 01:46:55,0.5,15.2,37.0
2026-04-15 01:46:56,0.7,15.2,36.4
2026-04-15 01:46:57,0.3,15.2,37.5
2026-04-15 01:46:58,2.5,15.2,37.0
2026-04-15 01:46:59,27.6,16.0,38.6
2026-04-15 01:47:00,25.4,16.3,39.1
2026-04-15 01:47:01,25.4,16.8,39.7
2026-04-15 01:47:02,17.7,17.4,40.2
2026-04-15 01:47:03,35.0,17.5,40.8
2026-04-15 01:47:04,39.5,17.4,40.8
2026-04-15 01:47:05,37.8,17.4,41.4
2026-04-15 01:47:06,35.5,17.4,40.2
2026-04-15 01:47:07,39.0,17.4,41.4
2026-04-15 01:47:08,33.8,17.5,40.8
2026-04-15 01:47:09,37.2,17.7,41.4
