Timestamp,Avg_Conf(%),InferenceTime(s),TotalLatencyTime(s),FPS,CPU_Temp(℃),CPU_Usage(%),Memory_Usage(%)
2026-04-15 02:35:26,0.0,0.162,0.555,1.8,37.5,0.0,19.6
2026-04-15 02:35:26,0.0,0.088,0.112,6.28,39.1,35.5,19.7
2026-04-15 02:35:26,0.0,0.083,0.106,6.2,39.1,31.8,19.7
2026-04-15 02:35:27,0.0,0.084,0.1,7.48,38.0,41.1,19.7
2026-04-15 02:35:27,0.0,0.086,0.102,7.37,39.1,36.0,19.7
2026-04-15 02:35:27,0.0,0.084,0.097,7.67,38.0,39.6,19.7
2026-04-15 02:35:27,0.0,0.086,0.102,7.35,39.7,44.1,19.7
2026-04-15 02:35:27,0.0,0.086,0.099,7.51,38.0,38.5,19.7
2026-04-15 02:35:27,0.0,0.086,0.099,7.5,39.7,43.4,19.7
2026-04-15 02:35:27,0.0,0.087,0.1,7.46,39.7,44.6,19.7
2026-04-15 02:35:27,0.0,0.084,0.097,7.67,38.6,38.5,19.7
2026-04-15 02:35:28,0.0,0.087,0.102,7.37,39.7,40.7,19.7
2026-04-15 02:35:28,0.0,0.084,0.097,7.66,39.7,36.0,19.7
2026-04-15 02:35:28,0.0,0.085,0.101,7.41,39.7,41.1,19.7
2026-04-15 02:35:28,0.0,0.085,0.1,7.51,39.7,38.0,19.7
2026-04-15 02:35:28,0.0,0.09,0.105,7.23,39.1,40.0,19.7
2026-04-15 02:35:28,0.0,0.084,0.107,6.25,39.1,36.4,19.7
2026-04-15 02:35:28,0.0,0.086,0.102,7.36,39.1,39.3,19.7
2026-04-15 02:35:29,0.0,0.087,0.099,7.48,40.2,42.0,19.7
2026-04-15 02:35:29,0.0,0.085,0.098,7.57,39.7,33.3,19.7
2026-04-15 02:35:29,0.0,0.083,0.097,7.65,39.1,36.0,19.7
2026-04-15 02:35:29,0.0,0.084,0.101,7.42,39.7,32.7,19.7
2026-04-15 02:35:29,0.0,0.084,0.099,7.53,40.8,35.3,19.7
2026-04-15 02:35:29,0.0,0.087,0.103,7.35,39.1,41.8,19.7
2026-04-15 02:35:29,0.0,0.086,0.098,7.56,40.8,42.9,19.7
2026-04-15 02:35:29,0.0,0.094,0.108,7.07,39.1,37.0,19.7
2026-04-15 02:35:30,0.0,0.096,0.12,5.91,40.2,37.3,19.7
2026-04-15 02:35:30,0.0,0.084,0.107,6.49,39.7,34.9,19.7
2026-04-15 02:35:30,0.0,0.083,0.099,7.55,39.7,40.0,19.7
2026-04-15 02:35:30,0.0,0.085,0.101,7.42,40.2,39.6,19.7
2026-04-15 02:35:30,0.0,0.087,0.102,7.39,39.1,41.8,19.7
2026-04-15 02:35:30,0.0,0.085,0.098,7.57,40.2,37.3,19.7
2026-04-15 02:35:30,0.0,0.085,0.099,7.53,39.7,41.5,19.7
2026-04-15 02:35:31,0.0,0.084,0.098,7.57,39.7,36.5,19.7
2026-04-15 02:35:31,0.0,0.083,0.099,7.55,40.2,38.5,19.7
2026-04-15 02:35:31,0.0,0.094,0.11,6.95,40.2,38.6,19.7
2026-04-15 02:35:31,0.0,0.085,0.108,6.32,40.2,34.9,19.6
2026-04-15 02:35:31,0.0,0.093,0.108,7.08,40.8,38.6,19.7
2026-04-15 02:35:31,0.0,0.086,0.109,6.28,40.8,34.4,19.7
2026-04-15 02:35:31,0.0,0.085,0.101,7.45,40.2,38.9,19.7
2026-04-15 02:35:32,0.0,0.087,0.099,7.52,40.2,40.4,19.7
2026-04-15 02:35:32,0.0,0.086,0.098,7.54,40.2,42.9,19.8
2026-04-15 02:35:32,0.0,0.087,0.1,7.46,40.2,41.8,19.8
2026-04-15 02:35:32,0.0,0.088,0.101,7.42,39.7,38.5,19.8
2026-04-15 02:35:32,0.0,0.087,0.11,6.04,40.8,33.8,19.9
2026-04-15 02:35:32,0.0,0.084,0.096,7.67,40.8,39.2,19.9
2026-04-15 02:35:32,0.0,0.087,0.103,7.32,40.2,42.1,20.0
2026-04-15 02:35:33,0.0,0.086,0.098,7.57,40.8,42.6,20.0
2026-04-15 02:35:33,0.0,0.086,0.099,7.52,40.8,38.5,20.0
2026-04-15 02:35:33,0.0,0.094,0.108,7.08,39.7,39.7,20.0
2026-04-15 02:35:33,0.0,0.087,0.11,6.26,40.2,30.6,19.9
2026-04-15 02:35:33,0.0,0.087,0.1,7.5,40.2,42.6,19.9
2026-04-15 02:35:33,0.0,0.099,0.112,6.84,40.2,40.4,19.9
2026-04-15 02:35:33,0.0,0.096,0.119,6.11,40.2,33.3,19.9
2026-04-15 02:35:34,0.0,0.104,0.126,5.76,39.7,35.3,19.9
2026-04-15 02:35:34,0.0,0.089,0.113,6.57,40.2,33.9,19.9
2026-04-15 02:35:34,0.0,0.086,0.109,6.15,40.8,32.3,19.9
2026-04-15 02:35:34,77.33,0.095,0.112,6.88,39.7,39.7,19.9
2026-04-15 02:35:34,79.0,0.095,0.118,6.06,40.2,40.9,19.9
2026-04-15 02:35:34,82.54,0.086,0.109,6.33,40.2,33.9,19.9
2026-04-15 02:35:35,84.06,0.086,0.098,7.53,40.8,43.6,19.9
2026-04-15 02:35:35,85.3,0.095,0.108,7.02,40.8,46.4,19.9
2026-04-15 02:35:35,84.5,0.087,0.11,6.3,40.8,35.9,19.9
2026-04-15 02:35:35,83.85,0.088,0.1,7.44,40.8,40.7,19.9
2026-04-15 02:35:35,83.15,0.087,0.11,6.06,40.2,35.8,19.8
2026-04-15 02:35:35,83.37,0.089,0.1,7.38,41.4,40.4,19.9
2026-04-15 02:35:35,82.94,0.088,0.111,6.03,39.7,38.6,19.9
2026-04-15 02:35:36,82.93,0.093,0.116,5.83,40.8,34.3,19.9
2026-04-15 02:35:36,82.5,0.094,0.118,5.98,40.8,36.8,19.8
2026-04-15 02:35:36,82.07,0.087,0.111,6.26,41.4,34.4,19.9
2026-04-15 02:35:36,81.2,0.089,0.102,7.34,40.8,39.6,19.9
2026-04-15 02:35:36,82.03,0.095,0.121,5.77,39.7,34.8,19.9
2026-04-15 02:35:36,81.29,0.086,0.11,6.39,40.8,32.8,19.9
2026-04-15 02:35:37,81.63,0.084,0.108,6.08,40.2,34.3,19.9
2026-04-15 02:35:37,81.93,0.086,0.1,7.46,39.7,40.7,19.9
2026-04-15 02:35:37,81.47,0.087,0.101,7.35,40.8,40.7,19.9
2026-04-15 02:35:37,81.99,0.097,0.12,5.73,40.8,33.3,19.9
2026-04-15 02:35:37,81.22,0.088,0.111,6.31,40.2,45.1,20.0
2026-04-15 02:35:37,81.56,0.09,0.113,5.9,40.8,28.6,20.0
2026-04-15 02:35:38,82.12,0.088,0.109,6.12,40.8,34.8,20.0
2026-04-15 02:35:38,81.31,0.095,0.118,5.76,40.2,37.1,20.0
2026-04-15 02:35:38,82.06,0.086,0.109,6.35,40.2,31.1,20.0
2026-04-15 02:35:38,80.88,0.094,0.117,5.73,40.2,34.3,19.9
2026-04-15 02:35:38,81.68,0.088,0.111,6.22,40.8,36.5,19.9
2026-04-15 02:35:38,81.31,0.097,0.12,5.69,40.8,31.9,19.9
2026-04-15 02:35:38,80.67,0.084,0.107,6.54,39.7,36.1,19.9
2026-04-15 02:35:39,81.06,0.098,0.113,6.78,39.7,40.7,19.9
2026-04-15 02:35:39,81.99,0.086,0.109,6.47,40.8,36.5,19.9
2026-04-15 02:35:39,81.18,0.102,0.115,6.68,41.4,40.0,19.9
2026-04-15 02:35:39,82.09,0.088,0.111,6.57,41.4,38.7,19.9
2026-04-15 02:35:39,80.71,0.1,0.123,5.61,39.1,36.2,19.9
2026-04-15 02:35:39,81.13,0.086,0.108,6.57,39.7,35.0,19.9
2026-04-15 02:35:40,81.82,0.088,0.101,7.4,40.8,41.5,19.9
2026-04-15 02:35:40,81.58,0.122,0.141,5.72,40.2,41.2,19.9
2026-04-15 02:35:40,81.86,0.086,0.109,6.36,41.4,33.9,20.0
2026-04-15 02:35:40,81.68,0.084,0.097,7.61,41.4,41.2,20.0
2026-04-15 02:35:40,81.37,0.085,0.099,7.47,40.2,42.9,20.0
2026-04-15 02:35:40,81.14,0.09,0.104,7.22,39.7,42.6,20.0
2026-04-15 02:35:40,82.21,0.097,0.12,5.76,41.4,35.7,20.0
2026-04-15 02:35:41,82.57,0.096,0.119,6.04,41.4,34.8,20.0
2026-04-15 02:35:41,82.4,0.085,0.108,6.42,40.8,37.1,20.0
2026-04-15 02:35:41,82.36,0.084,0.098,7.57,41.4,34.7,20.0
2026-04-15 02:35:41,81.71,0.086,0.101,7.42,40.2,44.6,19.9
2026-04-15 02:35:41,82.61,0.089,0.104,7.26,40.2,46.6,19.9
2026-04-15 02:35:41,81.58,0.085,0.108,6.18,40.2,36.4,19.9
2026-04-15 02:35:42,81.12,0.084,0.101,7.4,40.8,34.0,19.9
2026-04-15 02:35:42,80.27,0.086,0.112,5.93,41.9,33.3,19.9
2026-04-15 02:35:42,80.4,0.087,0.11,6.09,40.8,36.8,19.9
2026-04-15 02:35:42,80.03,0.133,0.143,5.58,40.8,38.4,19.9
2026-04-15 02:35:42,80.01,0.089,0.112,6.42,41.4,39.3,19.9
2026-04-15 02:35:42,78.89,0.095,0.118,5.77,41.9,35.7,20.0
2026-04-15 02:35:43,78.86,0.097,0.12,5.96,41.4,34.3,20.0
2026-04-15 02:35:43,79.19,0.084,0.106,6.49,41.4,35.5,20.0
2026-04-15 02:35:43,80.08,0.108,0.123,6.35,39.7,43.3,20.0
2026-04-15 02:35:43,79.67,0.086,0.109,6.91,41.9,40.0,20.0
2026-04-15 02:35:43,79.83,0.105,0.118,6.58,41.4,46.0,20.0
2026-04-15 02:35:43,78.96,0.098,0.121,6.29,43.0,36.9,20.0
2026-04-15 02:35:43,78.91,0.088,0.111,6.37,41.4,41.5,20.0
2026-04-15 02:35:44,79.42,0.086,0.104,6.07,41.4,34.3,20.0
2026-04-15 02:35:44,79.24,0.086,0.101,7.44,41.4,42.6,20.0
2026-04-15 02:35:44,79.32,0.087,0.099,7.52,41.9,42.6,20.0
2026-04-15 02:35:44,79.74,0.089,0.101,7.39,41.9,40.4,20.0
2026-04-15 02:35:44,78.27,0.097,0.12,5.73,41.9,34.3,20.0
2026-04-15 02:35:44,78.83,0.085,0.108,6.45,41.4,29.8,20.0
2026-04-15 02:35:44,79.18,0.086,0.098,7.48,41.9,44.6,19.9
2026-04-15 02:35:45,78.68,0.087,0.099,7.43,41.9,40.7,19.9
2026-04-15 02:35:45,79.31,0.097,0.109,6.96,41.9,43.9,19.9
2026-04-15 02:35:45,79.23,0.085,0.109,6.47,41.4,36.1,19.9
2026-04-15 02:35:45,76.81,0.087,0.1,7.42,41.4,32.7,19.8
2026-04-15 02:35:45,78.43,0.105,0.117,6.61,41.4,46.2,19.8
2026-04-15 02:35:45,80.66,0.108,0.132,5.87,41.4,37.7,19.8
2026-04-15 02:35:45,79.49,0.084,0.108,7.03,41.9,39.0,19.8
2026-04-15 02:35:46,75.15,0.097,0.112,6.87,41.4,38.2,19.8
2026-04-15 02:35:46,70.02,0.086,0.108,6.43,41.4,32.8,19.8
2026-04-15 02:35:46,73.29,0.086,0.099,7.48,41.9,39.6,19.8
2026-04-15 02:35:46,79.76,0.084,0.097,7.59,42.5,42.6,19.8
2026-04-15 02:35:46,80.45,0.084,0.099,7.52,41.9,37.3,19.8
2026-04-15 02:35:46,76.66,0.096,0.111,6.87,41.9,41.4,19.8
2026-04-15 02:35:46,80.78,0.083,0.106,6.53,41.4,35.5,19.8
2026-04-15 02:35:47,80.74,0.085,0.101,7.4,43.0,42.9,19.9
2026-04-15 02:35:47,79.48,0.083,0.093,7.6,42.5,42.3,19.9
2026-04-15 02:35:47,78.95,0.085,0.102,7.39,43.0,39.6,19.9
2026-04-15 02:35:47,79.51,0.09,0.104,7.23,42.5,43.9,19.9
2026-04-15 02:35:47,80.79,0.084,0.107,6.23,41.9,39.7,19.9
2026-04-15 02:35:47,79.78,0.086,0.101,7.39,42.5,42.1,20.0
2026-04-15 02:35:47,78.89,0.086,0.099,7.53,43.0,34.8,20.0
2026-04-15 02:35:48,78.69,0.094,0.108,7.03,41.9,39.3,20.0
2026-04-15 02:35:48,78.51,0.087,0.11,6.28,43.0,34.4,20.1
2026-04-15 02:35:48,79.01,0.094,0.117,5.78,40.8,35.7,20.1
2026-04-15 02:35:48,80.3,0.089,0.112,6.19,40.8,36.9,20.1
2026-04-15 02:35:48,0.0,0.084,0.107,6.16,41.4,34.4,20.1
2026-04-15 02:35:48,0.0,0.084,0.101,7.44,41.4,44.6,20.2
2026-04-15 02:35:49,0.0,0.085,0.103,7.35,41.9,35.3,20.2
2026-04-15 02:35:49,0.0,0.084,0.097,7.67,40.8,41.5,20.2
2026-04-15 02:35:49,0.0,0.085,0.099,7.47,41.9,43.6,20.2
2026-04-15 02:35:49,0.0,0.082,0.098,7.64,41.4,41.8,20.2
2026-04-15 02:35:49,0.0,0.084,0.098,7.41,41.4,36.0,20.1
2026-04-15 02:35:49,0.0,0.09,0.104,7.21,42.5,40.4,20.1
2026-04-15 02:35:49,0.0,0.086,0.108,6.14,40.8,36.9,20.1
2026-04-15 02:35:49,0.0,0.085,0.101,7.41,44.1,38.9,20.1
2026-04-15 02:35:50,0.0,0.113,0.126,6.26,41.9,39.7,20.1
2026-04-15 02:35:50,0.0,0.085,0.105,7.22,41.9,40.0,20.1
2026-04-15 02:35:50,0.0,0.086,0.1,7.51,42.5,38.0,20.0
2026-04-15 02:35:50,0.0,0.086,0.098,7.54,42.5,42.6,20.0
2026-04-15 02:35:50,0.0,0.084,0.097,7.61,41.9,43.4,20.0
2026-04-15 02:35:50,0.0,0.085,0.106,7.19,42.5,41.1,20.0
2026-04-15 02:35:50,0.0,0.088,0.11,6.07,41.4,36.8,20.0
2026-04-15 02:35:51,0.0,0.093,0.116,5.84,41.9,34.8,20.0
2026-04-15 02:35:51,0.0,0.093,0.117,5.97,41.9,36.2,20.0
2026-04-15 02:35:51,0.0,0.085,0.108,6.34,41.4,32.8,19.9
