Timestamp,Avg_Conf(%),InferenceTime(ms),TotalLatencyTime(ms),FPS,CPU_Temp(℃),CPU_Usage(%),Memory_Usage(%)
2026-04-15 03:58:51,71.75,165.3,469.7,2.13,40.2,0.0,20.7
2026-04-15 03:58:51,79.11,91.4,114.4,6.34,40.8,35.9,20.7
2026-04-15 03:58:51,79.56,82.3,105.1,6.35,40.8,27.1,20.8
2026-04-15 03:58:52,79.29,81.4,98.6,7.54,41.4,41.1,20.8
2026-04-15 03:58:52,78.66,85.6,103.4,7.28,39.7,36.5,20.8
2026-04-15 03:58:52,79.92,82.3,95.9,7.69,40.8,38.0,20.8
2026-04-15 03:58:52,80.23,84.0,101.1,7.4,40.8,40.0,20.8
2026-04-15 03:58:52,79.19,81.9,97.2,7.64,40.2,36.5,20.8
2026-04-15 03:58:52,78.68,93.7,110.6,6.87,40.8,40.0,20.8
2026-04-15 03:58:52,78.98,84.0,107.1,6.38,40.2,34.8,20.8
2026-04-15 03:58:53,77.53,81.8,97.3,7.63,40.2,36.0,20.8
2026-04-15 03:58:53,76.49,84.0,101.3,7.39,40.8,36.5,20.8
2026-04-15 03:58:53,77.36,95.5,111.0,6.9,39.7,39.3,20.8
2026-04-15 03:58:53,75.76,84.1,106.9,6.44,39.7,37.5,20.8
2026-04-15 03:58:53,75.6,82.7,98.9,7.54,41.4,38.5,20.8
2026-04-15 03:58:53,75.54,87.0,103.0,7.3,41.4,40.7,20.8
2026-04-15 03:58:53,75.45,89.8,105.3,7.17,41.9,45.8,20.8
2026-04-15 03:58:54,75.11,91.5,115.2,6.0,40.2,35.8,20.8
2026-04-15 03:58:54,74.5,97.3,120.3,5.87,40.2,36.4,20.8
2026-04-15 03:58:54,77.6,84.7,106.4,6.49,40.8,32.8,20.8
2026-04-15 03:58:54,75.42,102.6,117.0,6.61,41.4,41.7,20.8
2026-04-15 03:58:54,77.23,96.0,119.0,6.25,40.2,35.0,20.8
2026-04-15 03:58:54,75.05,90.4,112.5,6.21,40.2,41.2,20.8
2026-04-15 03:58:55,73.71,94.7,117.8,5.85,40.8,38.0,20.9
2026-04-15 03:58:55,71.48,94.0,117.1,6.03,39.7,36.4,20.9
2026-04-15 03:58:55,73.49,105.4,128.5,5.54,39.7,42.5,20.9
2026-04-15 03:58:55,74.66,110.0,133.6,5.89,39.7,37.7,20.9
2026-04-15 03:58:55,73.71,104.9,125.7,6.24,40.2,36.2,20.9
2026-04-15 03:58:55,73.81,104.4,128.9,5.97,40.2,40.3,20.9
2026-04-15 03:58:56,74.16,98.5,121.7,6.28,40.8,40.0,20.9
2026-04-15 03:58:56,73.41,95.0,118.1,6.13,41.4,35.5,20.9
2026-04-15 03:58:56,71.61,98.5,121.2,5.88,41.4,36.5,20.9
2026-04-15 03:58:56,70.49,91.0,114.1,6.21,40.8,33.9,20.9
2026-04-15 03:58:56,69.5,90.0,113.4,6.09,40.2,35.9,20.9
2026-04-15 03:58:56,72.66,87.0,109.8,6.14,40.2,37.3,20.9
2026-04-15 03:58:56,73.79,93.9,105.9,7.14,41.4,44.4,20.9
2026-04-15 03:58:57,71.33,92.0,115.4,6.05,42.5,40.0,20.9
2026-04-15 03:58:57,72.66,115.1,138.1,5.28,41.4,36.5,20.8
2026-04-15 03:58:57,70.85,97.9,115.5,6.7,41.4,40.7,20.8
2026-04-15 03:58:57,72.36,123.4,145.7,5.2,40.8,39.7,20.8
2026-04-15 03:58:57,71.91,101.1,124.3,5.64,42.5,38.4,20.8
2026-04-15 03:58:58,74.18,98.8,121.8,6.09,41.4,38.8,20.8
2026-04-15 03:58:58,73.22,92.2,114.5,6.21,40.2,37.5,20.8
2026-04-15 03:58:58,73.03,108.1,130.9,5.51,40.2,38.7,20.8
2026-04-15 03:58:58,74.55,106.5,129.6,6.06,40.2,38.5,20.9
2026-04-15 03:58:58,71.86,94.8,114.9,6.47,41.9,39.0,20.9
2026-04-15 03:58:58,76.86,88.7,111.2,6.23,40.2,37.5,20.9
2026-04-15 03:58:58,74.57,86.9,109.9,6.07,41.4,34.4,20.9
2026-04-15 03:58:59,74.33,92.2,103.2,7.22,40.2,45.6,20.9
2026-04-15 03:58:59,71.01,101.3,124.0,5.69,41.9,35.3,20.9
2026-04-15 03:58:59,74.25,105.8,130.8,5.72,40.2,36.2,20.9
2026-04-15 03:58:59,73.35,91.2,113.9,6.75,40.2,40.0,21.0
2026-04-15 03:58:59,74.99,90.0,112.8,6.05,40.8,32.8,21.0
2026-04-15 03:58:59,75.72,98.9,121.9,5.7,39.1,36.6,21.0
2026-04-15 03:59:00,71.84,87.8,110.7,6.43,41.9,37.7,21.1
2026-04-15 03:59:00,75.97,86.8,109.7,6.03,40.2,34.4,21.1
2026-04-15 03:59:00,74.1,91.1,102.1,7.28,40.8,45.5,21.1
2026-04-15 03:59:00,73.87,95.3,118.8,5.84,42.5,37.1,21.1
2026-04-15 03:59:00,74.87,92.5,117.1,6.04,40.2,35.4,21.1
2026-04-15 03:59:00,74.26,90.3,113.3,6.16,41.4,33.9,21.1
2026-04-15 03:59:01,74.41,102.8,125.9,5.59,40.8,36.6,21.1
2026-04-15 03:59:01,73.25,98.7,121.7,6.15,40.8,39.7,21.2
2026-04-15 03:59:01,72.35,102.7,125.7,5.86,39.7,30.6,21.2
2026-04-15 03:59:01,73.13,90.2,112.9,6.48,40.2,41.5,21.2
2026-04-15 03:59:01,75.09,104.4,126.5,5.54,40.8,36.6,21.2
2026-04-15 03:59:01,75.62,102.9,125.5,6.06,40.8,36.5,21.2
2026-04-15 03:59:02,75.55,103.0,125.3,5.99,40.8,37.9,21.2
2026-04-15 03:59:02,73.17,88.8,111.7,6.57,41.4,39.3,21.2
2026-04-15 03:59:02,74.56,106.0,128.9,5.45,40.2,33.8,21.1
2026-04-15 03:59:02,75.76,102.8,125.7,6.12,40.2,40.3,21.1
2026-04-15 03:59:02,74.81,98.3,121.0,6.17,40.8,38.3,21.1
2026-04-15 03:59:02,73.55,110.0,133.2,5.6,40.8,37.1,21.1
2026-04-15 03:59:03,73.95,115.1,137.9,5.82,40.8,39.1,21.1
2026-04-15 03:59:03,75.21,90.1,109.0,6.99,41.9,35.8,21.1
2026-04-15 03:59:03,75.64,86.4,108.2,6.17,41.4,35.9,21.1
2026-04-15 03:59:03,74.18,125.2,137.4,5.82,40.2,42.6,21.1
2026-04-15 03:59:03,73.17,104.5,127.0,5.59,40.2,37.1,21.1
2026-04-15 03:59:03,74.33,94.4,117.3,6.39,40.2,35.6,21.1
2026-04-15 03:59:04,73.54,98.9,121.9,5.84,39.7,36.2,21.1
2026-04-15 03:59:04,72.9,101.9,125.1,5.89,40.8,34.4,21.1
2026-04-15 03:59:04,74.23,92.6,115.5,6.36,40.2,39.1,21.1
2026-04-15 03:59:04,74.38,86.7,110.0,6.21,41.4,36.5,21.1
2026-04-15 03:59:04,75.2,116.5,128.2,6.15,41.9,42.4,21.1
2026-04-15 03:59:04,75.47,89.4,105.5,7.15,40.2,40.7,21.0
2026-04-15 03:59:05,76.11,97.7,120.9,5.71,41.4,33.8,21.0
2026-04-15 03:59:05,76.58,102.8,125.8,5.83,41.4,39.4,21.0
2026-04-15 03:59:05,75.78,111.9,136.0,5.66,40.2,41.4,21.0
2026-04-15 03:59:05,74.54,129.8,149.3,5.45,40.8,38.0,20.9
2026-04-15 03:59:05,75.33,110.9,133.7,5.53,40.8,36.1,20.9
2026-04-15 03:59:05,74.06,93.4,112.6,6.71,40.8,42.6,21.0
2026-04-15 03:59:06,75.57,88.4,111.2,6.19,40.8,37.9,21.0
2026-04-15 03:59:06,75.67,90.4,113.2,5.93,40.8,31.7,21.0
2026-04-15 03:59:06,75.4,88.2,112.3,5.99,40.8,40.0,21.0
2026-04-15 03:59:06,75.29,111.7,133.0,5.33,41.4,34.7,21.0
2026-04-15 03:59:06,75.64,108.4,129.0,6.13,41.4,41.8,21.0
2026-04-15 03:59:06,77.27,94.1,117.5,6.54,40.8,40.3,21.0
2026-04-15 03:59:07,75.48,104.5,127.8,5.66,40.8,37.1,21.0
2026-04-15 03:59:07,75.93,104.9,128.3,5.98,41.9,37.3,21.0
2026-04-15 03:59:07,76.94,99.0,122.0,6.24,40.8,38.1,20.9
2026-04-15 03:59:07,75.92,94.2,117.5,6.17,40.8,36.9,20.9
2026-04-15 03:59:07,75.23,91.9,114.7,6.1,40.2,40.6,20.9
2026-04-15 03:59:07,75.61,90.4,113.2,6.04,39.7,40.0,20.9
2026-04-15 03:59:08,74.97,90.1,111.0,6.02,40.8,35.4,20.9
2026-04-15 03:59:08,75.52,95.0,118.5,5.83,41.9,37.1,20.8
2026-04-15 03:59:08,75.84,118.9,141.9,5.26,40.8,36.5,20.8
2026-04-15 03:59:08,75.94,88.5,101.7,7.34,40.8,38.0,20.8
2026-04-15 03:59:08,75.54,90.7,112.4,5.92,41.4,36.4,20.8
2026-04-15 03:59:08,76.2,91.8,114.9,5.96,41.4,39.1,20.8
2026-04-15 03:59:09,75.77,102.4,127.5,5.55,40.2,36.1,20.8
2026-04-15 03:59:09,74.36,82.8,106.3,6.92,41.4,36.8,20.8
2026-04-15 03:59:09,75.35,108.2,124.2,6.32,40.8,42.9,20.8
2026-04-15 03:59:09,75.23,102.4,125.4,6.22,40.2,38.5,20.8
2026-04-15 03:59:09,75.99,99.2,122.4,6.11,41.4,37.9,20.8
2026-04-15 03:59:09,74.57,95.3,118.6,6.14,40.8,40.3,20.9
2026-04-15 03:59:10,76.32,87.7,110.8,6.3,41.4,40.9,20.9
2026-04-15 03:59:10,76.87,90.9,114.0,5.89,41.4,32.3,20.9
2026-04-15 03:59:10,75.51,103.4,127.1,5.56,40.2,38.2,21.0
