Timestamp,Avg_Conf(%),InferenceTime(ms),TotalLatencyTime(ms),FPS,CPU_Temp(℃),CPU_Usage(%),Memory_Usage(%)
2026-04-15 03:02:27,73.7,160.6,553.7,1.81,34.2,0.0,19.3
2026-04-15 03:02:27,74.78,94.0,117.1,6.05,34.8,32.8,19.4
2026-04-15 03:02:27,72.42,82.2,105.2,6.46,35.3,32.3,19.4
2026-04-15 03:02:28,71.26,81.5,99.1,7.53,35.9,35.3,19.4
2026-04-15 03:02:28,74.96,103.3,121.1,6.46,34.8,39.0,19.4
2026-04-15 03:02:28,74.43,80.8,103.8,6.94,35.3,37.1,19.4
2026-04-15 03:02:28,75.55,82.6,101.5,7.4,34.2,36.5,19.4
2026-04-15 03:02:28,77.25,82.3,99.1,7.52,35.9,42.1,19.4
2026-04-15 03:02:28,76.13,83.5,100.3,7.46,35.9,38.9,19.4
2026-04-15 03:02:28,77.07,91.7,107.9,7.06,35.9,36.4,19.4
2026-04-15 03:02:29,74.18,85.6,108.5,6.24,34.8,33.3,19.4
2026-04-15 03:02:29,75.74,80.4,94.4,7.79,34.2,31.9,19.4
2026-04-15 03:02:29,75.8,90.2,109.2,7.0,34.2,42.1,19.4
2026-04-15 03:02:29,76.6,81.0,104.1,6.35,35.3,32.8,19.4
2026-04-15 03:02:29,77.33,81.5,100.2,7.46,35.9,35.3,19.4
2026-04-15 03:02:29,78.46,85.8,103.6,7.28,34.2,40.0,19.4
2026-04-15 03:02:29,76.32,83.4,96.6,7.64,34.2,38.5,19.4
2026-04-15 03:02:30,75.83,83.5,99.5,7.5,36.4,38.5,19.4
2026-04-15 03:02:30,78.27,83.0,98.6,7.54,35.9,35.8,19.4
2026-04-15 03:02:30,78.55,84.1,100.7,7.41,34.8,45.5,19.4
2026-04-15 03:02:30,77.75,82.5,97.7,7.6,35.3,35.3,19.4
2026-04-15 03:02:30,78.06,83.9,101.2,7.42,34.8,38.9,19.4
2026-04-15 03:02:30,78.08,81.6,96.8,7.66,35.3,32.7,19.4
2026-04-15 03:02:30,76.85,82.1,101.1,7.41,35.3,39.6,19.4
2026-04-15 03:02:30,77.13,83.9,100.4,7.46,35.3,44.1,19.4
